Transcript_ID,Candidate_ID,Transcript,Sentiment_Score,Keywords,Outcome
TSMEN6OAM,CFOM0FNIG,I document cases thoroughly and follow policy.,0.52,refunds,Hired
TMX1JSSSO,CQX8PH0AQ,I document cases thoroughly and follow policy.,1.09,"QA,empathy",Hired
T6IPMOMMY,CCQGI5ZE4,I struggle with multitasking in high volume periods.,0.01,delivery,Hired
TCHL7JLJO,C0IHDR1V5,I enjoy helping customers resolve issues quickly and clearly.,0.13,"cancellation,QA",Not Hired
TFATQJ7KA,CXABBF9W2,I document cases thoroughly and follow policy.,-0.12,"cancellation,empathy,refunds",Not Hired
TZW0BU1HU,C438D5CRV,I find it hard to write empathetic responses.,-0.14,SLA,Not Hired
T8H314CQX,CVJL1HST1,I document cases thoroughly and follow policy.,0.82,QA,Not Hired
TV56VTBC0,CP8D9FK30,I find it hard to write empathetic responses.,-1.53,"delivery,QA",Not Hired
TVF2IJ50Y,C660H8TTZ,I enjoy helping customers resolve issues quickly and clearly.,0.69,"QA,refunds",Not Hired
TOZ1E6RLR,C7SUGI3KV,I find it hard to write empathetic responses.,-0.71,"coaching,delivery",Not Hired
TKTJHJM8Y,CF9RLODLI,I coach peers and share best practices.,0.69,SLA,Not Hired
TC42YD8Y3,CM0DC4VM1,I struggle with multitasking in high volume periods.,-0.53,"billing,refunds,coaching",Not Hired
T87G3BKXH,CQVFW7ELY,I enjoy helping customers resolve issues quickly and clearly.,1.2,"QA,policy",Not Hired
T52AJ5TBI,CIHIEIXK2,I struggle with multitasking in high volume periods.,-0.02,delivery,Not Hired
T91U9Y3OI,CBET30UD1,I enjoy helping customers resolve issues quickly and clearly.,0.33,"empathy,billing,refunds",Not Hired
TIHXOMEBZ,CUX955WMP,I stayed calm with an upset client and de-escalated the situation.,0.41,"QA,refunds",Hired
T6VI25JDK,CEE9E8KDK,I document cases thoroughly and follow policy.,0.62,"escalation,refunds,billing",Not Hired
T0QH6TQOH,COO4E4OXU,I struggle with multitasking in high volume periods.,-0.58,"coaching,policy,delivery",Not Hired
T8GEXM9OX,CD7TP0NE0,I stayed calm with an upset client and de-escalated the situation.,0.48,"escalation,empathy",Not Hired
TDA8UX578,CF74E2EZD,I coach peers and share best practices.,0.69,"escalation,billing,coaching",Not Hired
TG6QOXYR5,CXK20MI0Y,I enjoy helping customers resolve issues quickly and clearly.,0.05,refunds,Hired
T7HU1RCCS,CGZSWZ92W,I prefer phone over chat and may type slowly.,-0.48,SLA,Hired
TSH1ISUK5,C4E9XGQ7O,I document cases thoroughly and follow policy.,0.74,SLA,Not Hired
TU4A8WTBZ,C3HNSX759,I sometimes miss policy details under pressure.,-0.73,"coaching,escalation,empathy",Hired
